Fines	Areas_actividad	TM 	frequency_l1	keywords_l1	frequency_l2	keywords_l2
School protection and donations to determinate institutions.	Social services	Music	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	62	music (193), young (20), concert (19), orchestra (16), interpret (12), classic (11), symphon (10), heritag (10), contest (10), type (10), harp (9), musician (9), camera (9), jazz (8), festiv (7), individu (7), previous (6), grant (6), recoveri (5), instrument (5), 
Promotion, diffusion and education of the music and, in concrete, approach the music to the villages and help to promote the young interpreters.	Education - cultural	Music	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	62	music (193), young (20), concert (19), orchestra (16), interpret (12), classic (11), symphon (10), heritag (10), contest (10), type (10), harp (9), musician (9), camera (9), jazz (8), festiv (7), individu (7), previous (6), grant (6), recoveri (5), instrument (5), 
Boost from the infancy the interest to the music and attend the wide social demand of the artistic culture of the city. Create some surroundings favorecedor of the promotion of the practice in groups of activities, like forofo to the music. Discover and encourage the youngsters with aptitudes and prepare them for cursar professional studies of music. Offer a wide range of musical educations, without rejecting any musical demonstration. Organise the centre because it was a reality generadora of activities that comport the active participation of the youngsters, and concerts, auditions, performances out of the social headquarters, etc. project the foundation to the outside and boost the collective musical activities from the double optical of musical and social interest.	Cultural - education	Music	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	62	music (193), young (20), concert (19), orchestra (16), interpret (12), classic (11), symphon (10), heritag (10), contest (10), type (10), harp (9), musician (9), camera (9), jazz (8), festiv (7), individu (7), previous (6), grant (6), recoveri (5), instrument (5), 
Promote and spread the contemporary classical music and sponsor a cycle of concerts of jazz inside the frame of the international festival of jazz.	Cultural	Music	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	62	music (193), young (20), concert (19), orchestra (16), interpret (12), classic (11), symphon (10), heritag (10), contest (10), type (10), harp (9), musician (9), camera (9), jazz (8), festiv (7), individu (7), previous (6), grant (6), recoveri (5), instrument (5), 
His mission is to sensitise the world of the small and medium enterprise and of the autonomous people on the need to include social appearances like factor of competitiveness inside his business dynamics, from the vision of the effort shared with the different social actors and economic, and boosting a business culture renewed and engaged with the surroundings. As well as, help to the empresariat to have a second opportunity putting to his scope solve and tools that facilitate them a better adaptation to the challenges of the current economic activity.	Cooperation-desenvolulpament-international - education - business	UNKNOWN	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	25	small (29), medium (26), enterpris (25), technolog (20), compani (17), busi (15), employ (13), inform (8), growth (7), innov (7), impact (6), investor (6), opportun (5), allow (5), competit (4), occup (4), strategi (4), market (4), tool (4), dynam (3), 
Provision of educational services: impartición of training no ruled headed to all type of people, so adults like minors of age. Promote strategies against the social exclusion favouring the equality of opportunities by means of the orientation, the training and the support to the occupation. promocionando A sustainable economic development and integrador with a particular attention to the small and medium enterprises, emphasizing the bonds between competitiveness and training. Promoting the cultural activities and study of the arts.	Cultural - education	UNKNOWN	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	25	small (29), medium (26), enterpris (25), technolog (20), compani (17), busi (15), employ (13), inform (8), growth (7), innov (7), impact (6), investor (6), opportun (5), allow (5), competit (4), occup (4), strategi (4), market (4), tool (4), dynam (3), 
Improve a training of quality in all the fields of the education of the persones adults, in the frame of the permanent training. Promote strategies against the social exclusion favouring the equality of opportunities by means of the training, the orientation and the support to the occupation. Promote a sustainable economic development and integrador with special attention to the small and medium enterprises, emphasizing the bonds between competitiveness and training. Facilitate the participation of the economic and social agents in the preparation of politics of training and promotion for the local development.	Education	UNKNOWN	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	25	small (29), medium (26), enterpris (25), technolog (20), compani (17), busi (15), employ (13), inform (8), growth (7), innov (7), impact (6), investor (6), opportun (5), allow (5), competit (4), occup (4), strategi (4), market (4), tool (4), dynam (3), 
promocionar The employment, helping to the development of small and medium enterprises, creating forums of meeting and courses of training and divulging.	Cultural	UNKNOWN	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	25	small (29), medium (26), enterpris (25), technolog (20), compani (17), busi (15), employ (13), inform (8), growth (7), innov (7), impact (6), investor (6), opportun (5), allow (5), competit (4), occup (4), strategi (4), market (4), tool (4), dynam (3), 
End essentially religious: the evangelització and the diffusion of the message and the Christian culture to the current society.	Cultural	UNKNOWN	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	4	infanc (1), medic (1), religi (1), christian (1), argentinian (0), meadow (0), infarct (0), space (0), profit (0), itinerari (0), profil (0), communal (0), announc (0), trauma (0), internet (0), formula (0), correct (0), absorpt (0), soloist (0), insular (0), 
The mission of the foundation is to defend these rights and the dignity of these people as well as give answer to the needs of his families, promoting skilled services that can guarantee his quality of life and the one of his families and sensitise the group of the society on the reality of the autism.	Social services	UNKNOWN	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	3	autism (1), argentinian (0), soloist (0), correct (0), formula (0), internet (0), trauma (0), profil (0), communal (0), meadow (0), itinerari (0), profit (0), space (0), infarct (0), absorpt (0), announc (0), conting (0), insular (0), neighbourhood (0), gaucher (0), 
Orientation of the service to the external and internal customer improve the security of the patient improve the handle and the evolution of the infection consolidate the model asistencial of the foundation hospital of boys of barcelona improve the use of resources of the services of the hospital	Health (hospitable)	UNKNOWN	129	organis (23), particular (15), institut (10), compos (9), artist (9), choral (9), edit (8), histor (8), upper (8), spread (8), figur (8), facilit (7), divulg (7), high (7), associ (7), foreign (7), generat (7), scholarship (6), confer (6), women (6), 	1	hospit (1), orient (1), infect (1), custom (1), argentinian (0), profil (0), profit (0), itinerari (0), meadow (0), communal (0), internet (0), trauma (0), infarct (0), formula (0), correct (0), romanc (0), space (0), absorpt (0), apparit (0), announc (0), 
Promote an education of quality, in accordance with the principles and Christian values, offering the necessary services and the support and firm commitment with the families, for the coordination of the Christian schools of catalunya, his continuous pastoral update, pedagogical and organisational, through his own character, of the training of his professors and directors and of the support to the direction and to the management of the headlines of the centres in all the processes that develop  in the schools.	Education	Religion-Related	98	accord (21), doctrin (19), principl (16), religi (13), offer (9), human (8), person (7), tradit (7), spirit (6), civic (6), integr (6), saint (6), life (6), spiritu (5), muslim (5), congreg (4), strengthen (4), one (4), agreement (4), destin (4), 	55	cathol (41), church (33), christian (22), inspir (15), faith (15), chariti (8), moral (5), pedagog (4), degre (4), charact (4), exercis (3), addresse (3), typic (3), believ (3), assum (3), headlin (3), inequ (3), vision (3), professor (2), dominica (2), 
The promotion of ill people and people with intellectual disability and/or physical, achieving a full social integration and a spiritual maturity boosted in the Christian faith.	Cultural - health (hospitable) - social services	Religion-Related	98	accord (21), doctrin (19), principl (16), religi (13), offer (9), human (8), person (7), tradit (7), spirit (6), civic (6), integr (6), saint (6), life (6), spiritu (5), muslim (5), congreg (4), strengthen (4), one (4), agreement (4), destin (4), 	55	cathol (41), church (33), christian (22), inspir (15), faith (15), chariti (8), moral (5), pedagog (4), degre (4), charact (4), exercis (3), addresse (3), typic (3), believ (3), assum (3), headlin (3), inequ (3), vision (3), professor (2), dominica (2), 
Improve the quality of life of the greater people in risk of social exclusion, by means of an alternative of worthy and autonomous aging.	Social services	UNKNOWN	98	accord (21), doctrin (19), principl (16), religi (13), offer (9), human (8), person (7), tradit (7), spirit (6), civic (6), integr (6), saint (6), life (6), spiritu (5), muslim (5), congreg (4), strengthen (4), one (4), agreement (4), destin (4), 	5	villa (2), autonom (1), age (1), convent (1), argentinian (0), meadow (0), profit (0), itinerari (0), communal (0), infarct (0), profil (0), trauma (0), internet (0), formula (0), correct (0), romanc (0), space (0), absorpt (0), apparit (0), announc (0), 
Offer in the city a public museum of the gender of point.	Cultural - research	UNKNOWN	98	accord (21), doctrin (19), principl (16), religi (13), offer (9), human (8), person (7), tradit (7), spirit (6), civic (6), integr (6), saint (6), life (6), spiritu (5), muslim (5), congreg (4), strengthen (4), one (4), agreement (4), destin (4), 	4	museum (1), financ (1), citi (1), physic (1), point (1), internet (0), trauma (0), profil (0), communal (0), soloist (0), meadow (0), itinerari (0), formula (0), profit (0), space (0), infarct (0), absorpt (0), announc (0), argentinian (0), romanc (0), 
House amèrica catalunya, that from 1911 strengthens the bonds that join llatinoamèrica and catalunya, understands the culture like bond and like tool to know and approach the realities of the distinct villages of band and band of the atlantic. By means of an offer that, amongst other, includes exhibitions, days, literary and musical spaces or cycles of cinema, pretend to be a complement of cultural cooperation americanista with the institutions and bridge of external action in the codesenvolupament of the countries of amèrica Latin from catalunya.	Cultural	UNKNOWN	84	communiti (11), creation (8), univers (7), compani (6), bond (6), bottom (5), artist (5), author (4), writer (4), preserv (4), current (4), transport (3), literari (3), realiti (3), union (3), tourism (3), politician (3), caus (3), elabor (3), asia (3), 	18	latin (23), cuban (11), american (10), artist (8), contin (8), european (6), journalist (5), art (5), prize (4), cinema (4), europa (3), journal (3), product (3), robert (3), literatur (3), five (2), televis (2), bridg (2), musician (2), reinforc (2), 
Promote, spread, investigate and present of pedagogical way the human bonds, cultural, scientists and artistic existent between catalunya and the American continent, from the 1493 until our days.	Research - education - cultural	UNKNOWN	84	communiti (11), creation (8), univers (7), compani (6), bond (6), bottom (5), artist (5), author (4), writer (4), preserv (4), current (4), transport (3), literari (3), realiti (3), union (3), tourism (3), politician (3), caus (3), elabor (3), asia (3), 	18	latin (23), cuban (11), american (10), artist (8), contin (8), european (6), journalist (5), art (5), prize (4), cinema (4), europa (3), journal (3), product (3), robert (3), literatur (3), five (2), televis (2), bridg (2), musician (2), reinforc (2), 
Give the education to the children of in spite of of mar.	Education - cultural	UNKNOWN	84	communiti (11), creation (8), univers (7), compani (6), bond (6), bottom (5), artist (5), author (4), writer (4), preserv (4), current (4), transport (3), literari (3), realiti (3), union (3), tourism (3), politician (3), caus (3), elabor (3), asia (3), 	7	neglig (1), ailment (1), secondari (1), argentinian (0), meadow (0), infarct (0), space (0), profit (0), itinerari (0), communal (0), announc (0), profil (0), trauma (0), internet (0), formula (0), correct (0), absorpt (0), soloist (0), insular (0), conting (0), 
Consolidate his presence in the mentioned countries awarding the maximum number of scholarships, effecting the tasks of sensitisation and necessary awareness, so that these youngsters become, in a future, a source of wealth by his respective countries.	Education	UNKNOWN	84	communiti (11), creation (8), univers (7), compani (6), bond (6), bottom (5), artist (5), author (4), writer (4), preserv (4), current (4), transport (3), literari (3), realiti (3), union (3), tourism (3), politician (3), caus (3), elabor (3), asia (3), 	3	awar (1), alter (1), award (1), presenc (1), countri (1), congenit (1), futur (1), degre (1), learn (1), gender (1), number (1), girl (0), space (0), formula (0), internet (0), trauma (0), redistribut (0), persian (0), sponsor (0), profil (0), 
Attention to the problems referents to the integration in all the social fields (familiar, school, labour, professionals…) of the disabled people or with congenital or functional alterations, and support, help and orientation to the family, school, put of work and to the society in general, in all type of questions related. Because all learn to live and comprise the world of the diversity.	Social services - education	UNKNOWN	84	communiti (11), creation (8), univers (7), compani (6), bond (6), bottom (5), artist (5), author (4), writer (4), preserv (4), current (4), transport (3), literari (3), realiti (3), union (3), tourism (3), politician (3), caus (3), elabor (3), asia (3), 	3	awar (1), alter (1), award (1), presenc (1), countri (1), congenit (1), futur (1), degre (1), learn (1), gender (1), number (1), girl (0), space (0), formula (0), internet (0), trauma (0), redistribut (0), persian (0), sponsor (0), profil (0), 
The creation of an alive and interactive archive, a meeting point where from his collections can investigate , present, preserve and conjugar all the cultural dimensions of the food, from the ritual, the culinary memory, the science, the oral tradition, the art and the thought, the pedagogy, the cunia and the gastronomy, the controversies on feeding and nutrition.	Cultural - research	Nutrition	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	27	nutrit (30), feed (19), alimentari (17), food (10), kitchen (10), habit (10), gastronomi (8), health (8), anim (7), matter (7), gastronom (6), healthi (6), dietari (6), balanc (5), basqu (5), profit (3), prepar (3), compos (3), consum (3), fungus (3), 
That the person without home seats  received and accompanied at all times. That it improve his hygiene and health, create habits of group. Support alimentary to the families with derivative precarious economy of the social services of the city councils and of càritas. Accompany the people without papers and help them in administrative and legal processes.	Social services	Nutrition	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	27	nutrit (30), feed (19), alimentari (17), food (10), kitchen (10), habit (10), gastronomi (8), health (8), anim (7), matter (7), gastronom (6), healthi (6), dietari (6), balanc (5), basqu (5), profit (3), prepar (3), compos (3), consum (3), fungus (3), 
The upper education of the dietary and the human nutrition. The impulse, the coordination and the development of activities of research in the field of the dietary and the human feeding. The provision of services of organisation, advice and query in the field of the feeding, the nutrition and the dietary.	Research - education - social services	Nutrition	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	27	nutrit (30), feed (19), alimentari (17), food (10), kitchen (10), habit (10), gastronomi (8), health (8), anim (7), matter (7), gastronom (6), healthi (6), dietari (6), balanc (5), basqu (5), profit (3), prepar (3), compos (3), consum (3), fungus (3), 
The foundation is the international source of information on nuts and fruit desecada in matter of: health, nutrition, alimentary security, statistics of production and world-wide consumption, norms and governmental regulations on quality and commercial barriers	Cultural - research	Nutrition	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	27	nutrit (30), feed (19), alimentari (17), food (10), kitchen (10), habit (10), gastronomi (8), health (8), anim (7), matter (7), gastronom (6), healthi (6), dietari (6), balanc (5), basqu (5), profit (3), prepar (3), compos (3), consum (3), fungus (3), 
Management and promotion, non-profit, of the international centre of culture of the feeding and gastronomic research in the field of the historical and monumental group of saint benet of bages, promoting activities of investigation, study, technological development and application, business promotion, and training and divulging in matter of alimentary knowledge.	Cultural - research	Nutrition	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	27	nutrit (30), feed (19), alimentari (17), food (10), kitchen (10), habit (10), gastronomi (8), health (8), anim (7), matter (7), gastronom (6), healthi (6), dietari (6), balanc (5), basqu (5), profit (3), prepar (3), compos (3), consum (3), fungus (3), 
Boost the labour and social integration of the persones adults with disabled intellectual.	Social services	UNKNOWN	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	14	commerci (12), busi (10), trade (9), theori (9), practic (9), communic (6), translat (6), confer (6), chair (6), advertis (5), europa (5), european (5), seminar (4), colloquia (4), cours (3), audiovisu (3), music (3), represent (3), cabinet (3), refer (3), 
To) coordinate the efforts that are realising  to restore on scientific bases the nutritious and therapeutic prestige of the water of sea in the man, in veterinary and agriculture and his application to the irrigation and reafforestation of zones desérticas. b) Open the greater number of dispensarios marine in zones with big nutritional deficit.	Education - environment - research - corporate social responsibility - social services	UNKNOWN	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	10	water (5), engin (4), hydraul (4), hydrolog (4), irrig (2), restor (2), number (1), deficit (1), fluvial (1), economi (1), porous (1), desalinis (1), nutriti (1), veterinari (1), effort (1), sacrum (1), therapeut (1), instal (1), origin (1), prestig (1), 
Carry out projects of flats assisted for youngsters extutel·lats by part of the dgaia	Social services	UNKNOWN	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	2	argentinian (0), individu (0), romanc (0), correct (0), formula (0), internet (0), trauma (0), profil (0), communal (0), meadow (0), itinerari (0), profit (0), space (0), infarct (0), absorpt (0), announc (0), soloist (0), conting (0), neighbourhood (0), gaucher (0), 
The analysis and the generation of estratèfies and proposals, to improve cualitativamente all the genders of festive and public activities	Cultural - research	UNKNOWN	82	compani (11), product (10), healthi (8), busi (7), subject (6), institut (5), preserv (5), welfar (5), creation (5), adult (5), execut (5), industri (5), tongu (5), method (4), facilit (4), contest (4), degre (4), culinari (4), edit (3), human (3), 	2	analysi (1), festiv (1), argentinian (0), communal (0), infarct (0), space (0), profit (0), itinerari (0), meadow (0), profil (0), announc (0), trauma (0), internet (0), formula (0), correct (0), romanc (0), absorpt (0), soloist (0), apparit (0), conting (0), 
Assistance, protection, attention and tutela of the people affected of cerebral or similar paralysis of the regions of tarragona.	Social services	Public Health	73	accid (13), caus (8), familiar (8), vial (7), integr (6), main (6), therapi (4), recoveri (4), person (4), ictus (3), sportiv (3), purchas (3), methodolog (3), prevent (3), suffer (3), defici (2), sensori (2), profit (2), full (2), reduc (2), 	33	cerebr (37), affect (18), injuri (16), damag (15), secur (9), treatment (8), traffic (7), rehabilit (7), produc (5), paralysi (5), sever (4), except (4), make (4), warn (4), deep (4), deriv (3), advanc (3), victim (3), origin (3), opinion (3), 
The foundation has by object the promotion of the assistance, recovery, education and protection of all those that suffer cerebral injury, coexistent or no with mental deficiency, that make them impossible for his education and social integration to the rhythm and average capacity of the usually constituted person.	Health (hospitable)	Public Health	73	accid (13), caus (8), familiar (8), vial (7), integr (6), main (6), therapi (4), recoveri (4), person (4), ictus (3), sportiv (3), purchas (3), methodolog (3), prevent (3), suffer (3), defici (2), sensori (2), profit (2), full (2), reduc (2), 	33	cerebr (37), affect (18), injuri (16), damag (15), secur (9), treatment (8), traffic (7), rehabilit (7), produc (5), paralysi (5), sever (4), except (4), make (4), warn (4), deep (4), deriv (3), advanc (3), victim (3), origin (3), opinion (3), 
The entity caters services of integral attention to people affected of cerebral paralysis and his families.	Education - sportive - social services	Public Health	73	accid (13), caus (8), familiar (8), vial (7), integr (6), main (6), therapi (4), recoveri (4), person (4), ictus (3), sportiv (3), purchas (3), methodolog (3), prevent (3), suffer (3), defici (2), sensori (2), profit (2), full (2), reduc (2), 	33	cerebr (37), affect (18), injuri (16), damag (15), secur (9), treatment (8), traffic (7), rehabilit (7), produc (5), paralysi (5), sever (4), except (4), make (4), warn (4), deep (4), deriv (3), advanc (3), victim (3), origin (3), opinion (3), 
The foundation institute guttmann has by main aim promote, promote and achieve the integral rehabilitation of the people affected by a medullary injury, a cerebral damage purchased or another disability of origin neurológico, develop the research and the teaching in this field of the neurociència, and loan them the support and the most convenient services to attain a reinserción social satisfactory; and at the same time contribute to the full recognition of his rights and to an effective equiparación of opportunities (article 7 of the social statuses)	Research - health (hospitable) - social services	Public Health	73	accid (13), caus (8), familiar (8), vial (7), integr (6), main (6), therapi (4), recoveri (4), person (4), ictus (3), sportiv (3), purchas (3), methodolog (3), prevent (3), suffer (3), defici (2), sensori (2), profit (2), full (2), reduc (2), 	33	cerebr (37), affect (18), injuri (16), damag (15), secur (9), treatment (8), traffic (7), rehabilit (7), produc (5), paralysi (5), sever (4), except (4), make (4), warn (4), deep (4), deriv (3), advanc (3), victim (3), origin (3), opinion (3), 
Implant to catalunya a new methodology of work in the recovery of the medullary injuries, which will be compatible with other treatments. Achieve the implication of the lisiado and of his familiar to arrive to have an autonomy by the two parts. Achieve contributions económiques external that make possible the cheapening. Make possible a majority access to the treatment, with the implantation of a system of scholarships. Keep to the lisiados in the best possible fitness, like way of an improvement of life and like a better preparation by any scientific advance.	Health (no internally) - social services	Public Health	73	accid (13), caus (8), familiar (8), vial (7), integr (6), main (6), therapi (4), recoveri (4), person (4), ictus (3), sportiv (3), purchas (3), methodolog (3), prevent (3), suffer (3), defici (2), sensori (2), profit (2), full (2), reduc (2), 	33	cerebr (37), affect (18), injuri (16), damag (15), secur (9), treatment (8), traffic (7), rehabilit (7), produc (5), paralysi (5), sever (4), except (4), make (4), warn (4), deep (4), deriv (3), advanc (3), victim (3), origin (3), opinion (3), 
Atlas created and manage projects that culturalmente or socially do fault by the good operation of the society, that involve the transformation of this and using the education like main tool.	Social services - education - cultural	UNKNOWN	73	accid (13), caus (8), familiar (8), vial (7), integr (6), main (6), therapi (4), recoveri (4), person (4), ictus (3), sportiv (3), purchas (3), methodolog (3), prevent (3), suffer (3), defici (2), sensori (2), profit (2), full (2), reduc (2), 	8	metal (1), pertin (1), good (1), fault (1), transform (1), meadow (0), infarct (0), space (0), profit (0), itinerari (0), communal (0), announc (0), profil (0), trauma (0), internet (0), formula (0), correct (0), absorpt (0), conting (0), soloist (0), 
The main aim of the foundation is the support to the centres and institutes of studies of local and local research, entities without purpose of lucre, that develop his activity and projects in the most immediate surroundings. At present we keep contact with more than 300 entities.	Cultural - research	UNKNOWN	73	accid (13), caus (8), familiar (8), vial (7), integr (6), main (6), therapi (4), recoveri (4), person (4), ictus (3), sportiv (3), purchas (3), methodolog (3), prevent (3), suffer (3), defici (2), sensori (2), profit (2), full (2), reduc (2), 	4	argentinian (0), individu (0), romanc (0), correct (0), formula (0), internet (0), trauma (0), profil (0), communal (0), meadow (0), itinerari (0), profit (0), space (0), infarct (0), absorpt (0), announc (0), soloist (0), conting (0), neighbourhood (0), gaucher (0), 
Our aim is the integration sociolaboral of the people with disabled, so much of form individualizada like través of entities without afán of lucre that share this purpose.	Social services	UNKNOWN	73	accid (13), caus (8), familiar (8), vial (7), integr (6), main (6), therapi (4), recoveri (4), person (4), ictus (3), sportiv (3), purchas (3), methodolog (3), prevent (3), suffer (3), defici (2), sensori (2), profit (2), full (2), reduc (2), 	2	argentinian (0), individu (0), romanc (0), correct (0), formula (0), internet (0), trauma (0), profil (0), communal (0), meadow (0), itinerari (0), profit (0), space (0), infarct (0), absorpt (0), announc (0), soloist (0), conting (0), neighbourhood (0), gaucher (0), 
The promotion of the North American culture through artistic activities and/or cultutals and of the education of the English tongue.	Cultural - education	Cultural & Ethnic Awareness	69	communic (10), favour (8), civic (5), common (5), histori (5), widest (4), platform (4), collabor (3), digit (3), place (3), histor (3), requir (3), suitabl (3), doctor (3), virtual (3), possibl (3), measur (3), realm (3), geograph (3), librari (3), 	24	tongu (30), languag (22), hispan (14), english (11), media (8), european (8), linguist (7), group (6), join (5), understand (5), correct (5), defend (5), galicia (5), literatur (4), expans (4), portugues (4), citizen (4), insert (3), region (3), spaniard (3), 
It defends of the tongue, the culture and the Catalan nation.	Cultural - education	Cultural & Ethnic Awareness	69	communic (10), favour (8), civic (5), common (5), histori (5), widest (4), platform (4), collabor (3), digit (3), place (3), histor (3), requir (3), suitabl (3), doctor (3), virtual (3), possibl (3), measur (3), realm (3), geograph (3), librari (3), 	24	tongu (30), languag (22), hispan (14), english (11), media (8), european (8), linguist (7), group (6), join (5), understand (5), correct (5), defend (5), galicia (5), literatur (4), expans (4), portugues (4), citizen (4), insert (3), region (3), spaniard (3), 
Between his fundamental principles stand out: - donation of auditory prostheses and services of audiologia to people of the third age with scarce economic resources that need them. - Help and international cooperation in programs of precocious detection of the hipoacusia and rehabilitation of the auditory deficiency in countries of Hispanic speech in roads of development. - Establish programs of training continued in the sciences of the audition and in the language, and the divulging and help in search of the hipoacusia.	Health (hospitable) - social services	Cultural & Ethnic Awareness	69	communic (10), favour (8), civic (5), common (5), histori (5), widest (4), platform (4), collabor (3), digit (3), place (3), histor (3), requir (3), suitabl (3), doctor (3), virtual (3), possibl (3), measur (3), realm (3), geograph (3), librari (3), 	24	tongu (30), languag (22), hispan (14), english (11), media (8), european (8), linguist (7), group (6), join (5), understand (5), correct (5), defend (5), galicia (5), literatur (4), expans (4), portugues (4), citizen (4), insert (3), region (3), spaniard (3), 
The activities of the foundation, and the services that offers, frame  in the three facets that at present define it like entity of promotion and study of the equality of opportunities between men and women; of service to institutions that want to implement specific politics of positive actions; and of preservation of the memory and the moral legacy of maria aurèlia capmany, like model for the women of barcelona in particular, and of catalunya in general.	Cultural - research	UNKNOWN	69	ill (4), alter (3), compani (3), condit (3), collegi (3), present (3), paragraph (2), antiqu (2), implement (2), coordin (2), familiar (2), mention (2), consist (2), treatment (2), wish (2), mutual (2), adolesc (2), consequ (2), passiv (2), segovia (2), 	18	children (11), case (10), doctor (10), parent (9), employe (8), widow (7), year (5), orphan (5), offici (4), lower (4), cover (4), personnel (3), anonym (3), surgic (3), risk (3), virtu (3), legal (3), subsidi (3), conflict (3), particip (2), 
Received, attention and sanitary support to the most needed people of the region, especially of the population of temper.	Social services	UNKNOWN	69	ill (4), alter (3), compani (3), condit (3), collegi (3), present (3), paragraph (2), antiqu (2), implement (2), coordin (2), familiar (2), mention (2), consist (2), treatment (2), wish (2), mutual (2), adolesc (2), consequ (2), passiv (2), segovia (2), 	8	temper (1), emerg (1), argentinian (0), meadow (0), absorpt (0), infarct (0), space (0), profit (0), itinerari (0), communal (0), soloist (0), profil (0), trauma (0), internet (0), formula (0), correct (0), announc (0), neighbourhood (0), conting (0), insular (0), 
It has like purpose contribute to the permanent impulse and to the dinamización of the society in fields related with emergent subjects and strategic challenges of future collaborating with public and private entities.	Cultural - environment - research	UNKNOWN	69	ill (4), alter (3), compani (3), condit (3), collegi (3), present (3), paragraph (2), antiqu (2), implement (2), coordin (2), familiar (2), mention (2), consist (2), treatment (2), wish (2), mutual (2), adolesc (2), consequ (2), passiv (2), segovia (2), 	8	temper (1), emerg (1), argentinian (0), meadow (0), absorpt (0), infarct (0), space (0), profit (0), itinerari (0), communal (0), soloist (0), profil (0), trauma (0), internet (0), formula (0), correct (0), announc (0), neighbourhood (0), conting (0), insular (0), 
